nick_name,wallet,purchased,first_name,last_name,email,affiliate,sold
,0x58895d783e7f6c6a376c72873e89e8d4409ff2e5,66,,,,0xa28213129a91dfbddded4e6c4dbf5b266aed6005,0
,0xbc3d7cf2b546dfcf86415116a05bfb90020c7a38,30,,,,,0
,0x7f6db4f447676d52cc2fb2d3dc36bf4b33895759,25,,,,0x2070dd16c423f1ef10b7f998e3b8f8b75616c500,1
,0x9707e14eefe982e99215925d0ff721eaa31b0600,21,,,,0xf1db627ec206c714d803b75aa481b5eba497cc0a,0
,0x435244dba5699b23bfd6079dc4f2334a7027a602,19,,,,,0
,0xdaaa70b862419c790bb59175b9199cfcb749a520,19,,,,0x1f2d061c54d43971520449c99e76da8b4fb00b71,0
,0x6d1580fdb37775e9caa4affc0d8d48dfe17eedac,15,,,,,0
,0xa8936886c0b83c6e76fafc68a422e370941fdea7,12,,,,0xf1db627ec206c714d803b75aa481b5eba497cc0a,0
,0xa28213129a91dfbddded4e6c4dbf5b266aed6005,12,,,,0x673e36dc3cbec6b5ac4009129729c799e26f0a63,66
,0x864336b6ed3d55cafd2247cdc5caa6c97984cec3,10,,,,0xcbdabafc329764b8ba42b066108ad2cb3df75af2,0
,0x14a0469902aec7e5d80013f545976714377f2929,10,,,,0xbf885d3e646168c35df2aa9f516d3e9480b57eb4,0
,0x2070dd16c423f1ef10b7f998e3b8f8b75616c500,10,,,,0xa609403431acf1b6a9831e85f5feb485cc1b726e,26
,0xf3375cfab6e2911cb905b366e913752e348beed3,10,,,,0xa609403431acf1b6a9831e85f5feb485cc1b726e,1
,0x7aa4d53fdf5b30d0554ba231303c3454195cd90c,10,,,,0xc6b7d80187dcc484668e32ee36ce8eae12cecf24,9
xhale2021,0xd4bdb7a07108f3c3d0d84c5f799fd42a582f9e3a,9,,,,,6
,0x6be0bf86786e6b8cbd0dad0d312aacfe0a0f27be,9,,,,0x4680e41cad2596603d973a38cbcd77c7217967d9,0
,0x2dbc05ecab87c529204cc0ca1a358c027d4fe4ef,8,,,,,0
,0x54b17a5f440ed389c57e4152bad4f9148fb1da0c,8,,,,0x7d5b05196d3f0298dcc101e41f56a99627963785,0
,0x543d8db3d1a72e57355186b0ceb6d628dd5871ba,6,,,,0x8177bc83df57eaa2630c3592a6cca2443b1cfb8a,1
,0xacb44ad8db2ec0334cfd87cc235ee883c917bf24,6,,,,0x6f496a1d8abc8c01a8bdd76b16cf9c8a0c6a528d,0
donlfg,0x4189546d49838fd9e2b8ba117bfce8f17b881b4e,5,,,,,0
,0xafd6e0c12bd2db5cddeab0728c64ef36d93220eb,5,,,,,0
bayluv03,0x62095c2a786433d9bb90f4d3a346012e0c7339ef,5,,,,,0
,0xdb946162df333a6e896728cb9cd4ebcca18ad8ca,5,,,,0x3bcfc62903a513bf1007177849554075b3368db0,0
,0xe5f292f50ac5c55b714bad9da1a2f5bd24191f39,5,,,,0xaa099d01d0a3147fb82f129e88c3f58a32553a5a,0
,0x6f496a1d8abc8c01a8bdd76b16cf9c8a0c6a528d,5,,,,0x1f2d061c54d43971520449c99e76da8b4fb00b71,15
,0x540c9fdda19e350e244c15c0531332f7b2b28137,5,,,,0x4680e41cad2596603d973a38cbcd77c7217967d9,0
,0xb82cb8b1bb525ed0f97c756fe909e0c8bce59eae,5,,,,0x7aa4d53fdf5b30d0554ba231303c3454195cd90c,0
,0xac28c0c0a0816dddc03ab105d35becc34711f046,5,,,,0x6f496a1d8abc8c01a8bdd76b16cf9c8a0c6a528d,0
,0x452b5c8429e437f7fd290c23d55fb7f1f489c280,5,,,,0x3a052facfbc1ee60d6e8fa73a4a74905fdb1b2df,0
Madmandu,0x7b15973b491ef4645e6da733484bcbfe3e0d1ba0,4,,,,0xaa099d01d0a3147fb82f129e88c3f58a32553a5a,0
,0x532dabee9f60bdfa2da1f7defad548c86fb81be9,4,,,,0x7aa4d53fdf5b30d0554ba231303c3454195cd90c,0
,0x8462ca38165b0fba2989c0d45a691eb112f2e314,3,,,,,1
,0x3bcfc62903a513bf1007177849554075b3368db0,3,,,,,6
,0xe6f2d053826bcb9555ecc7893cb051d5d2049d56,3,,,,,0
,0xfb43d327f4ef199020d49caabe5fcf1dcdd8b77b,3,,,,,0
MisterMeerkat,0x097edcc344299a909296a757684621b261ca4f7e,3,,,,0x4aceb6e23c1b9f5a4f320b2c0c741e679a4f5344,0
,0xbdf7b8c076f0d49cd94e8599d94167a021bf293c,3,,,,0x6f496a1d8abc8c01a8bdd76b16cf9c8a0c6a528d,0
,0x2ff1d2cac9b35c6a52cf4761e762c0f346a3fbcd,3,,,,0xd4bdb7a07108f3c3d0d84c5f799fd42a582f9e3a,0
,0x59da55a38d3aa1e73707414ccef327f9821c0cbf,3,,,,0x4680e41cad2596603d973a38cbcd77c7217967d9,0
,0xce6e680cc9c8ea89207f7f4a08701822b432b8bd,2,,,,0xcbdabafc329764b8ba42b066108ad2cb3df75af2,0
CB1988,0xcbdabafc329764b8ba42b066108ad2cb3df75af2,2,,,,,15
,0xa7cba1a15770caa276370f0332d060f0c5620380,2,,,,0xcbdabafc329764b8ba42b066108ad2cb3df75af2,0
AD_UNUM,0x17ef2d59475cb2fc4423be52f4673710a744be83,2,,,,,0
TheNumbers,0x6cb43a3cab9e253094a76647717e46e5c11f28fc,2,,,,,0
galafan2k22,0x3c3cf403fd32832ef983baf4714fa33002acd42a,2,,,,0x535744fb404eebdaae92446c568e42ed618e5521,0
,0x475a4e8a632e9cfd85bcdf1fb0f2e921377758b7,2,,,,0xe022385f32c6125823d09a714706d2c46f1ecf65,0
,0x9b7c6a502439c6305628bbd35d21c0f59430333b,2,,,,,0
BC32,0xe0a971b0f748530c21cd0fb803c233e1df1250b6,2,,,,,1
,0x593b4b3df8d49ea66b7ff41c8d1af276aabda08e,2,,,,0x60cddf209cc9fbca8399c0d23049039cc0e560cc,0
,0x56d66824e4de973ee961fd8b117b3a21fc0d0ff4,2,,,,,0
,0xabc0fac6076bf9aad96575ebce52d47b64380c0e,2,,,,,0
,0x5755bb23872fccb27f0197db9a7a22385a9f97db,2,,,,0x5f463250af2e94da621e18c2e7ea1067d67a707f,0
justEd,0x0381ab3917512e0296d70ea65a3bcf58d87cf395,2,,,,0xa609403431acf1b6a9831e85f5feb485cc1b726e,0
,0x63ab78e58aaf843d4cdd3e3a8bd0671362b10375,2,,,,,0
,0x8ca800fbd97d4082a8a487283dd40b154520160b,2,,,,,0
,0xd5ac589abb5f0c33d7041223143010651ebe7c0d,2,,,,0xa609403431acf1b6a9831e85f5feb485cc1b726e,0
,0x7edbf87825d5a24244922c792844ed3aa531a879,2,,,,,1
,0xc54fbd77a14a9ce061a11e520af2ed66fa383191,2,,,,0xa609403431acf1b6a9831e85f5feb485cc1b726e,0
,0xc926cd15cda52aa608b9f4e449421866d9fb749c,2,,,,0x4680e41cad2596603d973a38cbcd77c7217967d9,0
,0x04b5a2653f5f6dbce9fc2312a7ca2cc631535c18,2,,,,0x4aceb6e23c1b9f5a4f320b2c0c741e679a4f5344,0
GalaGlory,0xe4caf123f8e81466bdd2358f8bfcf60bada82ae3,2,,,,0xd4bdb7a07108f3c3d0d84c5f799fd42a582f9e3a,0
agoodhome,0xecab586cf2bd8ef2ba4095047a2806afecde5bea,2,,,,,0
,0xdb08564d73d82107a2a8e1890200fb669aa23c23,2,,,,0x090f0a162fa59f360d4004e6146091ec5b0d06bd,0
,0x88c1...6faa,2,,,,,0
,0xaa099d01d0a3147fb82f129e88c3f58a32553a5a,1,,,,,13
_Vulture_,0x4b5921194844f3f62ba4420ca3b4603d4d73078a,1,,,,,0
Heroshop,0xe022385f32c6125823d09a714706d2c46f1ecf65,1,,,,,6
LitPoker,0x1031cae6c23ce093decae53a0118754aab3f10fa,1,,,,0xe022385f32c6125823d09a714706d2c46f1ecf65,0
evenwave,0x2636d742c9797ef3552eb280a6a76f58fb6a8167,1,,,,0xcbdabafc329764b8ba42b066108ad2cb3df75af2,2
LorandManda,0x81777b3c70c57d642acf97501eec1f1bae844c86,1,,,,,0
0x11A52,0x11a52ae4d4e6d076f895ebc213d7600240eec6b0,1,,,,0x0aa055527685a6ee719bd75949ba5943527e8277,1
,0xe77a3125007da3459e5e0acf1b64c513d2567a3f,1,,,,,0
jon_s82,0xcfe04950128aae25f7240657422fd6b0bfe3ef5d,1,,,,,0
BenC123,0x4d8b36ac25df3316ae809775a154277d5edcd246,1,,,,,0
,0x41344717b5f63e7d9ca8503678c85a67c5e17399,1,,,,,0
JRACryptos3,0x3a86b50e22e8dcaa62dc2dc86ac553e5c5e97bd9,1,,,,,0
,0x30b4241d3f888b9161280c131758747b8c381a5c,1,,,,,1
RostekipLedger,0x4aceb6e23c1b9f5a4f320b2c0c741e679a4f5344,1,,,,,5
,0xed8c660646e44747c41594c1aadfa8bd9e2190cc,1,,,,,0
,0x3ff8c76494c3b1871b33357f67721de4a34f5483,1,,,,,0
China_Beach_Co_Ltd,0xc3707a0838ecf08c9ab40ccd4c449d87a9664cca,1,,,,,0
